"STATION","NAME","DATE","TAVG"
"BR002549075","CURITIBA, BR","2022-01-01","23.3"
"BR002549075","CURITIBA, BR","2022-01-02","24.8"
"BR002549075","CURITIBA, BR","2022-01-03","24.8"
"BR002549075","CURITIBA, BR","2022-01-04","22.8"
"BR002549075","CURITIBA, BR","2022-01-05","23.3"
"BR002549075","CURITIBA, BR","2022-01-06","19.1"
"BR002549075","CURITIBA, BR","2022-01-07","17.4"
"BR002549075","CURITIBA, BR","2022-01-08","17.3"
"BR002549075","CURITIBA, BR","2022-01-09","17.2"
"BR002549075","CURITIBA, BR","2022-01-10","18.9"
"BR002549075","CURITIBA, BR","2022-01-11","19.6"
"BR002549075","CURITIBA, BR","2022-01-12","21.4"
"BR002549075","CURITIBA, BR","2022-01-13","20.4"
"BR002549075","CURITIBA, BR","2022-01-14","22.3"
"BR002549075","CURITIBA, BR","2022-01-15","22.4"
"BR002549075","CURITIBA, BR","2022-01-16","23.0"
"BR002549075","CURITIBA, BR","2022-01-17","24.1"
"BR002549075","CURITIBA, BR","2022-01-18","24.3"
"BR002549075","CURITIBA, BR","2022-01-19","25.8"
"BR002549075","CURITIBA, BR","2022-01-20","25.9"
"BR002549075","CURITIBA, BR","2022-01-21","24.8"
"BR002549075","CURITIBA, BR","2022-01-22","25.7"
"BR002549075","CURITIBA, BR","2022-01-23","26.5"
"BR002549075","CURITIBA, BR","2022-01-24","26.0"
"BR002549075","CURITIBA, BR","2022-01-25","24.9"
"BR002549075","CURITIBA, BR","2022-01-26","26.3"
"BR002549075","CURITIBA, BR","2022-01-27","24.1"
"BR002549075","CURITIBA, BR","2022-01-28","17.2"
"BR002549075","CURITIBA, BR","2022-01-29","17.3"
"BR002549075","CURITIBA, BR","2022-01-30","18.9"
"BR002549075","CURITIBA, BR","2022-01-31","22.8"
"BR002549075","CURITIBA, BR","2022-02-01","23.9"
"BR002549075","CURITIBA, BR","2022-02-02","23.4"
"BR002549075","CURITIBA, BR","2022-02-03","22.8"
"BR002549075","CURITIBA, BR","2022-02-04","22.7"
"BR002549075","CURITIBA, BR","2022-02-05","24.1"
"BR002549075","CURITIBA, BR","2022-02-06","25.0"
"BR002549075","CURITIBA, BR","2022-02-07","21.6"
"BR002549075","CURITIBA, BR","2022-02-08","20.7"
"BR002549075","CURITIBA, BR","2022-02-09","20.4"
"BR002549075","CURITIBA, BR","2022-02-10","21.0"
"BR002549075","CURITIBA, BR","2022-02-11","21.9"
"BR002549075","CURITIBA, BR","2022-02-12","21.6"
"BR002549075","CURITIBA, BR","2022-02-13","23.6"
"BR002549075","CURITIBA, BR","2022-02-14","25.1"
"BR002549075","CURITIBA, BR","2022-02-15","21.5"
"BR002549075","CURITIBA, BR","2022-02-16","22.7"
"BR002549075","CURITIBA, BR","2022-02-17","20.8"
"BR002549075","CURITIBA, BR","2022-02-18","19.8"
"BR002549075","CURITIBA, BR","2022-02-19","21.8"
"BR002549075","CURITIBA, BR","2022-02-20","24.0"
"BR002549075","CURITIBA, BR","2022-02-21","25.4"
"BR002549075","CURITIBA, BR","2022-02-22","24.9"
"BR002549075","CURITIBA, BR","2022-02-23","23.7"
"BR002549075","CURITIBA, BR","2022-02-24","23.4"
"BR002549075","CURITIBA, BR","2022-02-25","23.4"
"BR002549075","CURITIBA, BR","2022-02-26","24.0"
"BR002549075","CURITIBA, BR","2022-02-27","24.8"
"BR002549075","CURITIBA, BR","2022-02-28","27.0"
